"S+U Gesundbrunnen Bhf (Berlin)", 009007102#86
"Voltastr. (Berlin) (U)", 009007103#86
"Eberswalde, Bernauer Heerstr.", 009350379#86
"U Rosenthaler Platz (Berlin)", 009100023#86
"Weinmeisterstr. (Berlin) (U)", 009100051#86
"Alexanderplatz Bhf (Berlin) (S+U)", 009100003#86
"S+U Jannowitzbrücke (Berlin)", 009100004#86
"Heinrich-Heine-Str. (Berlin) (U)", 009100008#86
"U Moritzplatz (Berlin)", 009013101#86
"U Kottbusser Tor (Berlin)", 009013102#86
"U Schönleinstr. (Berlin)", 009016201#86
"Hermannplatz (Berlin) (U)", 009078101#86
"U Boddinstr. (Berlin)", 009079202#86
"U Leinestr. (Berlin)", 009079201#86
"Hermannstr. (Berlin) (S+U)", 009079221#86
"Schönhauser Allee (Berlin) (S+U)", 009110001#86
"Eberswalder Str. (Berlin) (U)", 009110006#86
"U Senefelderplatz (Berlin)", 009110005#86
"U Rosa-Luxemburg-Platz (Berlin)", 009100016#86
"Alexanderplatz Bhf (Berlin) (S+U)", 009100003#86
"Klosterstr. (Berlin) (U)", 009100015#86
"Märkisches Museum (Berlin) (U)", 009100014#86
"U Spittelmarkt (Berlin)", 009100013#86
"U Hausvogteiplatz (Berlin)", 009100012#86
"Stadtmitte (Berlin) (U)", 009100011#86
"Mohrenstr. (Berlin) (U)", 009100010#86
"Potsdamer Platz Bhf (Berlin) (S+U)", 009100020#86
